,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
55,2007-10-31,AAP,15.232142857142854,1.5282074841219573,29.258892059326172,0.003755442508265113,0.05891100579583412,0.025368161239332387,1.8,-0.08,-2.98,-0.29,-0.09,0.0032,0.0005554425082651129
56,2007-11-30,AAP,15.982222222222223,1.50912289199743,30.836761474609375,-0.00011616849299250775,0.056113264173087624,-0.01944028635762718,-4.83,-3.02,-0.94,1.89,-0.29,0.0034000000000000002,-0.003516168492992508
57,2007-12-31,AAP,16.884444444444444,1.50912289199743,32.629188537597656,0.002997703575001972,0.058123648780034474,0.016602839259062252,-0.87,0.15,-0.55,0.87,-1.05,0.0027,0.0002977035750019717
58,2008-01-31,AAP,15.902222222222223,1.50912289199743,30.73103141784668,0.00779486883654897,0.06024119141840568,0.07509180840002472,-6.36,-0.65,3.97,2.15,2.14,0.0021,0.0056948688365489695
59,2008-02-29,AAP,14.710526315789474,1.7403591539321837,28.807117462158203,-0.0026537797448255205,0.05987151314925941,-0.051217965621536354,-3.09,-0.66,-0.84,0.87,-0.92,0.0013,-0.00395377974482552
60,2008-03-31,AAP,14.93421052631579,1.7403591539321837,29.299270629882812,-0.0072121273695174475,0.062339104746977125,-0.10353001957211072,-0.93,0.56,0.3,0.79,0.5,0.0017000000000000001,-0.008912127369517447
61,2008-04-30,AAP,15.210526315789474,1.7403591539321837,29.841367721557617,-0.00791247634383252,0.0619845302574618,-0.11087686072584946,4.6,-1.2,-0.94,1.63,-2.47,0.0018,-0.00971247634383252
62,2008-05-31,AAP,16.65289256198347,1.662508499195531,34.67726135253906,-0.012099176381313729,0.05789827131104823,-0.15267355533971816,1.86,3.02,-1.43,0.93,-0.06,0.0018,-0.013899176381313728
63,2008-06-30,AAP,16.045454545454547,1.662508499195531,33.46106719970703,0.0009603349789105894,0.07678346367028982,-0.020590741848074967,-8.44,1.18,-2.71,4.96,-0.55,0.0017000000000000001,-0.0007396650210894107
64,2008-07-31,AAP,16.97933884297521,1.662508499195531,35.40858459472656,-0.0002907016921097257,0.07727778079041472,-0.0355950413441215,-0.77,3.72,5.42,-1.36,1.06,0.0015,-0.0017907016921097257
65,2008-08-31,AAP,16.8125,1.7998988340414868,37.08894348144531,0.01640256693839856,0.06442279140839897,0.18959742983383832,1.53,3.46,1.59,1.86,0.84,0.0013,0.015102566938398562
66,2008-09-30,AAP,15.492187499999998,1.7998988340414868,34.227840423583984,0.018463866123038953,0.06503613149966359,0.21836911256674152,-9.24,0.25,5.91,2.42,1.78,0.0015,0.01696386612303895
67,2008-10-31,AAP,12.1875,1.7998988340414868,26.926586151123047,0.016587282449146562,0.06761065072429356,0.18934741080729167,-17.23,-3.34,-2.3,3.04,2.05,0.0008,0.015787282449146563
